


Country,Gov,Issuer,value

Argentina,0,Petrobras Argentina SA,   18485849



Australia,0,Amcor Ltd/Australia,   159103558
Australia,0,Asciano Finance Ltd,   151304904
Australia,0,Australia & New Zealand Banking Group Ltd,   296596050
Australia,0,BHP Billiton Finance Ltd,   179602370
Australia,0,BHP Billiton Finance USA Ltd,   272076752
Australia,0,Commonwealth Bank of Australia,   581537288
Australia,0,Crusade Euro Trust,   146455977
Australia,0,Crusade Global Trust,   423190820
Australia,0,FBG Finance Ltd,   90280033
Australia,1,Government of Australia,   4112992705
Australia,0,Incitec Pivot Ltd,   36569067
Australia,0,Insurance Australia Group Ltd,   30645760
Australia,0,Medallion Trust,   161471228
Australia,0,National Australia Bank Ltd,   1793545810
Australia,0,National RMBS Trust,   46442094
Australia,0,Qantas Airways Ltd,   95367056
Australia,0,QBE Insurance Group Ltd,   49035956
Australia,0,SPI Electricity & Gas Australia Holdings Pty Ltd,   122668655
Australia,0,Suncorp Group Ltd,   39262452
Australia,0,Swan,   348037611
Australia,0,Telstra Corp Ltd,   763702916
Australia,0,Westfield Trust,   94139393
Australia,0,Westpac Banking Corp,   888722750
Australia,0,Westpac Securitisation Trust,   144373855
Australia,0,Woodside Finance Ltd,   44258836
Australia,0,Woolworths Ltd,   210576654



Austria,0,Autobahn Schnell AG,   316307099
Austria,0,BA WAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,   39927656
Austria,0,Erste Group Bank AG,   151610163
Austria,1,Government of Austria,   15560799156
Austria,0,Hypo Alpe-Adria-Bank International AG,   1055972997
Austria,0,KA Finanz AG,   535736449
Austria,0,KIG - Krankenanstalten Immobiliengesellschaft mbH,   87171334
Austria,0,Kommunalkredit Austria AG,   370157155
Austria,0,OeBB Infrastruktur AG,   403704952
Austria,0,Oesterreichische Kontrollbank AG,   1138394111
Austria,0,Oesterreichische Volksbanken AG,   70543206
Austria,0,Pfandbriefstelle der Oesterreichischen Landes-Hypothekenbanken,   463615767
Austria,0,Telekom Finanzmanagement GmbH,   129957125
Austria,0,UniCredit Bank Austria AG,   199026159
Austria,0,Verbund International Finance BV,   133128304



Bahrain, 1,Government of Bahrain,   28613419



Barbados,0,Voto-Votorantim Overseas Trading Operations NV,   32157304



Belgium,0,Anheuser-Busch InBev NV,   386771307
Belgium,0,ASR Nederland NV,   11371634
Belgium,0,Delhaize Group SA,   9584212
Belgium,0,Elia System Operator SA/NV,   183605965
Belgium,0,Flemish Community,   318723372
Belgium,0,Fortis Bank SA/NV,   267220264
Belgium,1,Government of Belgium,   14813195093
Belgium,0,Home Loan Invest,   386179250
Belgium,0,Solvay SA,   25008044



Bermuda,0,Allied World Assurance Co Ltd,   101387155
Bermuda,0,Holcim GB Finance Ltd,   58167169
Bermuda,0,Qtel International Finance Ltd,   48762441
Bermuda,0,Weatherford International Ltd/Bermuda,   97578323



Brazil,0,Banco Nacional de Desenvolvimento Economico e Social,   83560282
Brazil,0,Centrais Eletricas Brasileiras SA,   222162016
Brazil,1,Government of Brazil,   3140730613
Brazil,0,GTL Trade Finance Inc,   19502639
Brazil,0,Petrobras International Finance Co - Pifco,   634672341
Brazil,0,Telemar Norte Leste SA,   29702156
Brazil,0,Vale SA,   32827115



British Virgin Islands,0,CNOOC Finance   2003 Ltd,   66931222
British Virgin Islands,0,Gold Fields Orogen Holding BV I Ltd,   26686166
British Virgin Islands,0,PCCW-HKT Telephone Ltd,   64058240


   
Canada,0,407 International Inc,   85034157
Canada,0,Agrium Inc,   95287257
Canada,0,American Express Canada Credit Corp,   46542007
Canada,0,Apache Finance Canada Corp,   13172498
Canada,0,Bank of Montreal,   2414636458
Canada,0,Bank of Nova Scotia,   2890057393
Canada,0,Bell Aliant Regional Communications LP,   99929960
Canada,0,Bell Canada,   167800017
Canada,0,BMW Canada Inc,   10781688
Canada,0,Brookfield Renewable Power Inc,   18262981
Canada,0,Burlington Resources Finance Co,   57740967
Canada,0,Cameco Corp,   13456018
Canada,0,Canadian Imperial Bank of Commerce/Canada,   3111106582
Canada,0,Canadian National Railway Co,   73015815
Canada,0,Canadian Natural Resources Ltd,   489140864
Canada,0,Canadian Pacific Railway Co,   243076142
Canada,0,Capital Desjardins Inc,   19488921
Canada,0,Caterpillar Financial Services Ltd,   12326465
Canada,0,CDP Financial Inc,   322226563
Canada,0,Cenovus Energy Inc,   100673327
Canada,0,Citigroup Finance Canada Inc,   60392043
Canada,0,City of Toronto Canada,   69200946
Canada,0,ConocoPhillips Canada Funding Co I,   115025820
Canada,0,Enbridge Inc,   86391007
Canada,0,Encana Corp,   220104504
Canada,0,EPCOR Utilities Inc,   20694834
Canada,0,Federation des Caisses Desjardins du Quebec,   431673138
Canada,0,GE Capital Canada Funding Co,   301712000
Canada,1,Government of Canada,   12045409591
Canada,0,Greater Toronto Airports Authority,   281105659
Canada,0,Great-West Lifeco Inc,   12574579
Canada,0,Holcim Finance Canada Inc,   18207973
Canada,0,Husky Energy Inc,   106938060
Canada,0,Hydro One Inc,   20566667
Canada,0,Hydro Quebec,   1175941100
Canada,0,Manulife Financial Corp,   30589757
Canada,0,Metro Inc,   19245153
Canada,0,Molson Coors Capital Finance UL C,   49059875
Canada,0,National Bank of Canada,   1060506207
Canada,0,Nexen Inc,   101732998
Canada,0,Province of Alberta Canada,   32525772
Canada,0,Province of British Columbia Canada,   395011817
Canada,0,Province of Manitoba Canada,   251864560
Canada,0,Province of New Brunswick Canada,   478458857
Canada,0,Province of Nova Scotia Canada,   213701423
Canada,0,Province of Ontario Canada,   3370778469
Canada,0,Province of Quebec Canada,   1567970116
Canada,0,Rogers Communications Inc,   483132033
Canada,0,RONA Inc,   24241113
Canada,0,Royal Bank of Canada,   911352115
Canada,0,Shaw Communications Inc,   151688754
Canada,0,Sun Life Financial Inc,   59941984
Canada,0,Suncor Energy Inc,   509348083
Canada,0,Talisman Energy Inc,   44307621
Canada,0,Teck Resources Ltd,   257245189
Canada,0,TELU S Corp,   98101522
Canada,0,Thomson Reuters Corp,   457189785
Canada,0,Toronto-Dominion Bank/The,   2371187552
Canada,0,TransAlta Corp,   65997563
Canada,0,TransCanada PipeLines Ltd,   410594381
Canada,0,Vale Canada Ltd,   66715425
Canada,0,Wells Fargo Financial Canada Corp,   37053998
Canada,0,World Color Press Inc,   8
Canada,0,Xstrata Canada Corp,   42464230
Canada,0,Xstrata Finance Canada Ltd,   312548765
Canada,0,Yellow Media Inc,   19642135



Cayman Islands,0,Crest Ltd,   667078
Cayman Islands,0,Embraer Overseas Ltd,   45728474
Cayman Islands,0,Hongkong Land Finance Cayman Island Co Ltd,   29629413
Cayman Islands,0,Hutchison Whampoa Finance Ltd,   130985020
Cayman Islands,0,Hutchison Whampoa International Ltd,   96114844
Cayman Islands,0,IPIC GMTN Ltd,   195749255
Cayman Islands,0,Mastr Alternative NIM,   3
Cayman Islands,0,NSCR Trust,   5967950
Cayman Islands,0,Sharp SP I LL C Net Interest Margin Trust,   23
Cayman Islands,0,TDIC Finance Ltd,   33042135
Cayman Islands,0,Thames Water Utilities Cayman Finance Ltd,   34097600
Cayman Islands,0,TIAA Real Estate CDO Ltd,   1655243
Cayman Islands,0,Transocean Inc,   175481304
Cayman Islands,0,Usiminas Commercial Ltd,   20000505
Cayman Islands,0,Vale Overseas Ltd,   583218774
Cayman Islands,0,Yorkshire Water Services Bradford Finance Ltd,   111210249



Chile,0,Banco del Estado de Chile,   30798352
Chile,0,Banco Santander Chile,   30073077
Chile,0,Celulosa Arauco y Constitucion SA,   32641516
Chile,1,Chile Government International Bond,   251157263
Chile,0,Colbun SA,   25717965
Chile,0,Corp Nacional del Cobre de Chile,   256739896
Chile,0,Inversiones CMPC SA,   20237756



China, 0,Export-Import Bank of China,   163345696
China, 1,Government of China,   186522137



Croatia,1,Government of Croatia,   160727592



Cyprus,1,Government of Cyprus,   237623993



Czech Republic,0,Ceske Drahy,   118924143
Czech Republic,0,CEZ AS,   439322144
Czech Republic,1,Government of the Czech Republic,   412210192



Denmark,0,BR Fkredit A/S,   335543009
Denmark,0,Carlsberg Breweries A/S,   34626804
Denmark,0,Danske Bank A/S,   71313876
Denmark,0,DONG Energy A/S,   250733973
Denmark,0,FIH Erhvervsbank A/S,   286942576
Denmark,1,Government of Denmark,   10007289188
Denmark,0,Kommunekredit,   600459969
Denmark,0,Nordea Kredit Realkreditaktieselskab,   1085370868
Denmark,0,Nykredit Bank A/S,   65037218
Denmark,0,Nykredit Realkredit A/S,   840126936
Denmark,0,Realkredit Danmark A/S,   2166296547
Denmark,0,Spar Nord Bank A/S,   71005480



Egypt,1,Government of Egypt,   171209234


Estonia,0,Eesti Energia AS,   77581170


Finland,0,Aktia Real Estate Mortgage Bank PLC,   668556818
Finland,0,Elisa OYJ,   42105916
Finland,0,Fortum OYJ,   267339316
Finland,1,Government of Finland,   7096763287
Finland,0,Metso OYJ,   39717920
Finland,0,Nokia OYJ,   60270283
Finland,0,Nordea Bank Finland PLC,   1194492799
Finland,0,OP Mortgage Bank,   581976157
Finland,0,Pohjola Bank PLC,   112897706
Finland,0,Sampo OYJ,   306883535
Finland,0,Teollisuuden Voima OYJ,   105829193



France,0,Agence Francaise de Developpement,   1986382012
France,0,Alstom SA,   95834465
France,0,Areva SA,   120885564
France,0,Autoroutes du Sud de la France SA,   398723760
France,0,AXA SA,   542924672
France,0,Banque Federative du Credit Mutuel SA,   380326061
France,0,Banques Populaires Covered Bond SA,   648626380
France,0,BNP Paribas Home Loan SFH,   2590080549
France,0,BNP Paribas SA,   828935843
France,0,Bouygues SA,   93249242
France,0,BPCE SFH SA,   811038817
France,0,Caisse d’Amortissement de la Dette Sociale,   7116241719
France,0,Caisse de Refinancement de l’Habitat SA,   7591618168
France,0,Caisse des Depots et Consignations,   401114741
France,0,Caisse Nationale des Autoroutes,   410445997
France,0,Carrefour SA,   230501002
France,0,Casino Guichard Perrachon SA,   152591547
France,0,Cie de St-Gobain,   249582227
France,0,Cie Financiere et Industrielle des Autoroutes,   166312221
France,0,CIF Euromortgage SA,   1405146277
France,0,Ciments Francais SA,   41066118
France,0,CNP Assurances,   70836306
France,0,Credit Agricole Covered Bonds,   2284722832
France,0,Credit Agricole SA,   1093586999
France,0,Credit Foncier de France,   5171472426
France,0,Credit Immobilier de France Development SA,   401383595
France,0,Credit Logement SA,   85298569
France,0,Credit Mutuel - CIC Home Loan SFH,   3724988659
France,0,Credit Mutuel Arkea SAC,   41411808
France,0,Dexia Credit Local SA,   1388977749
France,0,Dexia Municipal Agency SA,   7015829882
France,0,EDF SA,   1571571652
France,0,France Telecom SA,   1870805924
France,0,GCE Covered Bonds SA,   398689402
France,0,GDF Suez,   212948158
France,0,GIE PSA Tresorerie,   26398334
France,1,Government of France,   79789907186
France,0,Groupama SA,   436628093
France,0,Groupe BPCE,   58146870
France,0,HSBC France SA,   441457908
France,0,Imerys SA,   84470054
France,0,Klepierre,   64578788
France,0,Korreden SA,   157456
France,0,La Mondiale Vie,   65616075
France,0,La Poste SA,   224732693
France,0,Lafarge SA,   62935018
France,0,LaSer Cofinoga,   54071120
France,0,Legrand France SA,   146659203
France,0,Natixis,   334059393
France,0,OSEO SA,   738794938
France,0,Pernod-Ricard SA,   187503500
France,0,PPR,   92478766
France,0,RCI Banque SA,   128592708
France,0,Regie Autonome des Transports Parisiens,   553040435
France,0,Reseau Ferre de France,   1587227852
France,0,RTE EDF Transport SA,   103772604
France,0,SA de Gestion des Stocks de Securite,   89090986
France,0,Sanofi,   495859634
France,0,SES SA,   89601116
France,0,Societe Des Autoroutes Paris-Rhin-Rhone,   50006990
France,0,Societe Financement de l’Economie Francaise,   1159339957
France,0,Societe Francaise du Radiotelephone,   41601841
France,0,Societe Generale SA,   1129954649
France,0,Societe Generale SCF SA,   705873804
France,0,Societe Nationale des Chemins de Fer Francais,   875690407
France,0,Solvay Finance France SA,   30971396
France,0,Suez Environnement Co,   351171400
France,0,Technicolor SA,   72825
France,0,Total Capital SA,   298426278
France,0,Total SA,   156888945
France,0,Unedic,   179867310
France,0,Vauban Mobilisations Garanties SA,   360612745
France,0,Veolia Environnement SA,   919835529
France,0,Vivendi SA,   331452803



Germany,0,BASF SE,   402338020
Germany,0,Bayer AG,   93772509
Germany,0,Bayerische Landesbank,   250105114
Germany,0,Bayerische Landesbodenkreditanstalt,   420667105
Germany,0,BayernLB Capital Trust I,   64931296
Germany,0,Bertelsmann AG,   245629879
Germany,0,Bremer Landesbank Kreditanstalt Oldenburg - Girozentrale,   81413616
Germany,0,Commerzbank AG,   414287050
Germany,0,Daimler AG,   494487965
Germany,0,DekaBank Deutsche Girozentrale,   491507883
Germany,0,Deutsche Apotheker-und Aerztebank eG,   161607469
Germany,0,Deutsche Bank AG,   556155667
Germany,0,Deutsche Pfandbriefbank AG,   4693789224
Germany,0,Deutsche Postbank Funding Trust IV,   64431498
Germany,0,Dexia Kommunalbank Deutschland AG,   367474999
Germany,0,Duesseldorfer Hypothekenbank AG,   593091728
Germany,0,Erste Abwicklungsanstalt,   414248196
Germany,0,Eurogrid GmbH,   35032648
Germany,0,Eurohypo AG,   5087925502
Germany,0,EWE AG,   130466194
Germany,0,FMS Wertmanagement AoR,   5042763810
Germany,0,Gemeinsame Deutsche Bundeslaender,   823271245
Germany,0,Gothaer Allgemeine Versicherung AG,   26644565
Germany,1,Government of Germany,   51293506191
Germany,0,Henkel AG & Co KGaA,   42827398
Germany,0,HSH Finanzfonds AoeR,   107581066
Germany,0,HSH Nordbank AG,   1678580489
Germany,0,IKB Deutsche Industriebank AG,   137292
Germany,0,Kreditanstalt fuer Wiederaufbau,   22703405464
Germany,0,Land Thueringen,   205781678
Germany,0,Landesbank Baden-Wuerttemberg,   405694273
Germany,0,Landesbank Berlin AG,   383817670
Germany,0,Landesbank Hessen-Thueringen Girozentrale,   184082675
Germany,0,Landwirtschaftliche Rentenbank,   2668631314
Germany,0,MAN SE,   47479668
Germany,0,Merck KGaA,   225550568
Germany,0,Metro AG,   185530396
Germany,0,Muenchener Rueckversicherungs AG,   203627912
Germany,0,Norddeutsche Landesbank Girozentrale,   373452221
Germany,0,State of Baden-Wurttemberg,   159723016
Germany,0,State of Berlin,   693385671
Germany,0,State of Brandenburg,   563020945
Germany,0,State of Hesse,   246742509
Germany,0,State of Lower Saxony,   205899048
Germany,0,State of North Rhine-Westphalia,   6329354929
Germany,0,State of Rhineland-Palatinate,   79432252
Germany,0,State of Schleswig-Holstein,   161101185
Germany,0,Talisman Finance PLC,   206359928
Germany,0,UniCredit Bank AG,   612258692
Germany,0,Volkswagen AG,   660252757
Germany,0,Volkswagen Financial Services AG,   296727790
Germany,0,Volkswagen Leasing GmbH,   40114194
Germany,0,VW Credit Canada Inc,   31031858
Germany,0,WestLB AG,   689288152
Germany,0,WL BA NK AG Westfaelische Landschaft Bodenkreditbank,   812761024



Greece,0,EFG Hellas Funding Ltd,   13004521
Greece,1,Government of Greece,   1515693106
Greece,0,Marfin Popular Bank PCL,   28745293
Greece,0,National Bank of Greece SA,   63635580


Hong Kong,0,Bank of China Hong Kong Ltd,   94553574
Hong Kong,0,CLP Power Hong Kong Financing Ltd,   31440097
Hong Kong,0,Gain Silver Finance Ltd,   32746932
Hong Kong,1,Hong Kong Special Administrative Region,   66424905
Hong Kong,0,Hutchison Whampoa Finance Ltd,   100614238
Hong Kong,0,Hutchison Whampoa Finance Ltd,   82539915
Hong Kong,0,Hutchison Whampoa International  Ltd,   506785548
Hong Kong,0,Hutchison Whampoa International 09 Ltd,   52377143



Hungary,1,Government of Hungary,   644049591
Hungary,0,OTP Bank PLC,   28852120



Iceland,0,Danaher European Finance Co ehf,   41029207
Iceland,0,Glitnir Banki HF,   58413279
Iceland,0,Kaupthing Bank Hf,   18545697
Iceland,0,Landsbanki Islands HF,   3389978



India,1,Government of India,   570823861
India,0,ICICI Bank Ltd,   152403336
India,0,Indian Oil Corp Ltd,   24702638
India,0,State Bank of India,   60125389



Indonesia,1,Government of Indonesia,   329698046



Ireland,0,AIB Mortgage Bank,   1297497234
Ireland,0,Allied Irish Banks PLC,   541192915
Ireland,0,Bank of Ireland Mortgage Bank,   622513486
Ireland,0,Bord Gais Eireann,   41759048
Ireland,0,Celtic Residential Irish Mortgage Securitisation,   541048675
Ireland,0,Depfa ACS Bank,   760800802
Ireland,0,EBS Ltd,   143279044
Ireland,0,GE Capital European Funding,   1631755435
Ireland,0,GE Capital UK Funding,   1010072026
Ireland,1,Government of Ireland,   3812715815
Ireland,0,Governor & Co of the Bank of Ireland/The,   1654934772
Ireland,0,Irish Bank Resolution Corp Ltd,   378543937
Ireland,0,Irish Life & Permanent Group Holdings PLC,   834050069
Ireland,0,Saphir Finance PLC,   962587



Israel,1,Government of Israel,   198644409
Israel,0,Teva Pharmaceutical Industries Ltd,   530666011



Italy,0,A2A SpA,   192682677
Italy,0,ACEA SpA,   28160973
Italy,0,Assicurazioni Generali SpA,   321151526
Italy,0,Atlantia SpA,   504615238
Italy,0,Banca Carige SpA,   203751137
Italy,0,Banca Monte dei Paschi di Siena SpA,   1220466426
Italy,0,Banca Popolare di Milano Scarl,   69398103
Italy,0,Banca Popolare di Vicenza,   62339681
Italy,0,Banco Popolare SC,   303154375
Italy,0,Cassa Depositi e Prestiti SpA,   4771788151
Italy,0,City of Rome Italy,   29528276
Italy,0,Edison SpA,   35760060
Italy,0,Enel SpA,   289688340
Italy,0,ENI SpA,   92469468
Italy,0,Fiat Finance North America Inc,   262182
Italy,1,Government of Italy,   32913636536
Italy,0,Hera SpA,   113455060
Italy,0,Intesa Sanpaolo SpA,   1079132008
Italy,0,Lottomatica SpA,   39502270
Italy,0,Region of Lombardy Italy,   64509056
Italy,0,Telecom Italia SpA,   854859228
Italy,0,Terna Rete Elettrica Nazionale SpA,   39996247
Italy,0,UniCredit SpA,   2544446914
Italy,0,Unione di Banche Italiane SCPA,   1077207791
Italy,0,Unipol Gruppo Finanziario SpA,   90471007
Italy,0,Vela Home Srl,   63937251



Japan,0,Bank of Tokyo-Mitsubishi UFJ Ltd,   62495701
Japan,0,Dai-ichi Life Insurance Co Ltd/The,   19095411
Japan,0,Development Bank of Japan,   233158254
Japan,0,Fukoku Mutual Life Insurance Co,   50728134
Japan,1,Government of Japan,   67035767519
Japan,0,Japan Finance Corp,   589228357
Japan,0,Japan Finance Organization for Municipalities,   384794836
Japan,0,Sumitomo Mitsui Banking Corp,   233405575



Jersey C.I.,0,BAA Funding Ltd,   567104648
Jersey C.I.,0,BA WAG Capital Finance Jersey Ltd,   6517924



Lithuania,1,Government of Lithuania,   287309313



Luxembourg,0,AON Financial Services Luxembourg SA,   38591752
Luxembourg,0,Blueorchard Loans for Development SA,   4600106
Luxembourg,0,Ciba Specialty Chemicals Finance Luxembourg SA,   53330832
Luxembourg,0,Covidien International Finance SA,   118395746
Luxembourg,0,Erste Europaeische Pfandbrief und Kommunalkreditbank AG in Luxembourg,   42750694
Luxembourg,0,Espirito Santo Financial Group SA,   23069069
Luxembourg,0,Euroclear Finance SA,   46671335
Luxembourg,0,EUR OHYPO Europaeische Hypothekenbank SA Luxembourg,   666558062
Luxembourg,0,Glencore Finance Europe SA,   265175838
Luxembourg,1,Government of Luxembourg,   259038310
Luxembourg,0,Hannover Finance Luxembourg SA,   178020427
Luxembourg,0,Holcim US Finance Sarl & Cie SCS,   30748639
Luxembourg,0,ITW Finance Europe SA,   145463552
Luxembourg,0,Merck Finanz AG,   39636282
Luxembourg,0,Michelin Luxembourg SCS,   27784267
Luxembourg,0,Nord/LB Covered Finance Bank SA,   341300090
Luxembourg,0,NORD/LB G-MTN SA,   408700462
Luxembourg,0,Novartis Finance SA,   95997011
Luxembourg,0,Talanx AG,   35052062
Luxembourg,0,Telecom Italia Capital SA,   458985645
Luxembourg,0,Telecom Italia Finance SA,   155706519
Luxembourg,0,Tyco Electronics Group SA,   66175501
Luxembourg,0,Tyco International Finance SA,   68774413
Luxembourg,0,Unicredit Luxembourg Finance SA,   186009474




Malaysia,0,Sarawak International Inc,   32862848



Mexico,0,America Movil SAB de CV,   1137658659
Mexico,0,BBVA Bancomer,   43968781
Mexico,1,Government of Mexico,   2758897651
Mexico,0,Grupo Televisa SAB,   136422508
Mexico,0,Petroleos Mexicanos,   151172981



Netherlands,0,ABN Amro Bank NV,   4092108771
Netherlands,0,Achmea BV,   129918327
Netherlands,0,Achmea Hypotheekbank NV,   733949681
Netherlands,0,Adecco International Financial Services BV,   122427513
Netherlands,0,Aegon NV,   184337142
Netherlands,0,Alliander NV,   32096076
Netherlands,0,Allianz Finance II BV,   415682152
Netherlands,0,ArcelorMittal,   86431268
Netherlands,0,ASML Holding NV,   93845439
Netherlands,0,Bank Nederlandse Gemeenten,   4266937044
Netherlands,0,BASF Finance Europe NV,   92618429
Netherlands,0,Bayer Capital Corp BV,   33976879
Netherlands,0,BMW Finance NV,   642546574
Netherlands,0,Coca-Cola HBC Finance BV,   44436239 
Netherlands,0,Cooperatieve Centrale Raiffeisen-Boerenleenbank BA /Netherlands, 3782603397
Netherlands,0,Daimler International Finance BV,   358551794
Netherlands,0,Deutsche Bahn Finance BV,   664005383
Netherlands,0,Deutsche Post Finance BV,   80434145
Netherlands,0,Deutsche Telekom International Finance BV,   1995053449
Netherlands,0,Diageo Finance BV,   95885624
Netherlands,0,E.ON International Finance BV,   1494780022
Netherlands,0,EDP Finance BV,   130800303
Netherlands,0,Elsevier Finance SA Via ELM BV,   42679597
Netherlands,0,Enbw International Finance BV,   84275244
Netherlands,0,Enel Finance International NV,   1258884039
Netherlands,0,Generali Finance BV,   134294200
Netherlands,1,Government of the Netherlands,   20218355211
Netherlands,0,HIT Finance BV,   116321333
Netherlands,0,Imperial Mobility Finance BV,   60805974
Netherlands,0,ING Bank NV,   3225170349
Netherlands,0,ING Groep NV,   346159531
Netherlands,0,International Endesa BV,   174251073
Netherlands,0,KBC Internationale Financieringsmaatschappij NV,   219376159
Netherlands,0,Koninklijke DSM NV,   131391562
Netherlands,0,Koninklijke KPN NV,   1074405607
Netherlands,0,Koninklijke Philips Electronics NV,   23834679
Netherlands,0,Lanxess Finance BV,   45206436
Netherlands,0,LeasePlan Corp NV,   189829116
Netherlands,0,Lukoil International Finance BV,   136028204
Netherlands,0,Nederlandse Gasunie NV,   32667788
Netherlands,0,Nederlandse Waterschapsbank NV,   1859112848
Netherlands,0,NIBC Bank NV,   61324599
Netherlands,0,PostNL NV,   140748504
Netherlands,0,Red Electrica de Espana Finance BV,   54835552
Netherlands,0,Repsol International Finance BV,   476607206
Netherlands,0,RWE Finance BV,   572933004
Netherlands,0,Saudi Basic Industries Corp,   64151153
Netherlands,0,Schlumberger Finance BV,   38196030
Netherlands,0,Scotland International Finance No,   26989639
Netherlands,0,Shell International Finance BV,   428290744
Netherlands,0,Siemens Financieringsmaatschappij NV,   522061559
Netherlands,0,SNS Bank NV,   938097015
Netherlands,0,Suedzucker International Finance BV,   49031077
Netherlands,0,Telefonica Europe BV,   152740702
Netherlands,0,TenneT Holding BV,   58986341
Netherlands,0,ThyssenKrupp Finance Nederland BV,   164037646
Netherlands,0,Wolters Kluwer NV,   136526578



New Zealand,0,ANZ National International Ltd/New Zealand,   126873541
New Zealand,0,BNZ International Funding Ltd,   394815495
New Zealand,0,Chorus Ltd,   263408058
New Zealand,0,Fonterra Cooperative Group Ltd,   149201793
New Zealand,1,Government of New Zealand,   181091161
New Zealand,0,Westpac Securities NZ Ltd,   228291438



Peru,1,Government of Peru,   427010975



Poland,1,Government of Poland,   2574504540



Portugal,0,Banco BPI SA,   275989873
Portugal,0,Banco Comercial Portugues SA,   193971486
Portugal,0,Banco Espirito Santo SA,   249475127
Portugal,0,Banco Santander Totta SA,   305765315
Portugal,0,BA NIF SGPS SA,   38384657
Portugal,0,Brisa Concessao Rodoviaria SA,   20055753
Portugal,0,Caixa Economica Montepio Geral,   66156062
Portugal,0,Caixa Geral de Depositos SA,   4222790548
Portugal,0,CP - Comboios de Portugal EPE,   96281656
Portugal,1,Government of Portugal,   742829444
Portugal,0,Parpublica - Participacoes Publicas SGPS SA,   127078145
Portugal,0,Refer-Rede Ferroviaria Nacional SA,   71450158



Qatar,1,Government of Qatar,   512458790
Qatar,0,Nakilat Inc,   64603059
Qatar,0,Qatari Diar Finance QSC,   64813263
Qatar,0,Ras Laffan Liquefied Natural Gas Co Ltd II,   56912027
Qatar,0,Ras Laffan Liquefied Natural Gas Co Ltd III,   86228538



Russia,0,Gazprom OAO,   64546737
Russia,1,Government of Russian Federation,   1074145898
Russia,0,TNK-BP Finance SA,   228710719



Singapore,1,Government of Singapore,   52625510
Singapore,0,Noble Group Ltd,   26139621
Singapore,0,PSA International Pte Ltd,   171605700
Singapore,0,Singapore Telecommunications Ltd,   33801176
Singapore,0,SingTel Group Treasury Pte Ltd,   258034583
Singapore,0,SP PowerAssets Ltd,   31847259



Slovakia,1,Government of Slovakia,   1239767278



